adm0,date,quantile,R_eff,active_asymptomatic_cases,case_reporting_rate,cumulative_cases,cumulative_deaths,cumulative_deaths_per_100k,cumulative_reported_cases,cumulative_reported_cases_per_100k,current_hospitalizations,current_hospitalizations_per_100k,current_icu_usage,current_vent_usage,daily_cases,daily_deaths,daily_hospitalizations,daily_reported_cases,doubling_t,total_population
US,2020-11-02,0.01,1.0351608677098412,157828.30886823946,0.7109549025793863,14430840.623291928,227416.6072962613,68.7205507151306,8904617.685619142,2690.789553756126,35513.98923879075,10.731586085978183,10979.074495231487,7922.8355208816065,74470.67778324628,704.2800873516237,1913.2398708224227,50354.10421271711,127.45195321701824,330929547.17283666
US,2020-11-02,0.025,1.0362024940696597,175362.3525281776,0.71578345133414,14505949.854049593,227689.9303403139,68.80314323259772,8926379.498577986,2697.365519288596,37021.222381581734,11.187040473677142,11638.436369379388,8445.126439729887,77599.39270602513,727.2938064193877,2035.0099118465369,52353.91631255268,132.07000330431217,330929547.17283666
US,2020-11-02,0.05,1.0373366714611958,192593.6544339677,0.7201086474250529,14584362.829968398,228079.67064828426,68.92091461665814,8944372.820577595,2702.802725531836,38361.697618208585,11.59210410370917,12196.735031181586,8916.730410377859,80855.0371271483,758.4885105087825,2142.381044173789,54549.840763868466,136.45246483398893,330929547.17283666
US,2020-11-02,0.1,1.038568526782452,216610.56255856183,0.7245213546986824,14679563.259852026,228642.48785121177,69.09098622487075,8968451.560435802,2710.078818000434,40140.895083586256,12.129740431615676,12920.337395383176,9531.908898473352,84776.30433274804,795.2095446965964,2289.1185051754737,57058.098090253094,142.46163371120468,330929547.17283666
US,2020-11-02,0.15,1.039560996257815,236896.13807383808,0.7272434889155254,14732568.147257846,229124.32873895066,69.23658848125895,8983221.145798432,2714.541878337236,41619.02614913332,12.576400779165445,13479.742686426422,10042.022011884552,87031.71081474118,828.3848402227263,2413.0739737040285,58870.689098372335,147.8139804306419,330929547.17283666
US,2020-11-02,0.2,1.0402648200965237,255660.82703896737,0.7294529145694043,14778564.561565952,229627.01196288035,69.38848885649715,8993913.963662427,2717.773024650808,42944.36562177901,12.976890697327242,13956.962787655215,10468.375505619686,88956.41088819796,855.8057406622216,2510.4886879477085,60106.04806391003,152.018517173642,330929547.17283666
US,2020-11-02,0.25,1.0408758976592576,274936.78015132423,0.7317040092870469,14821873.29025131,230114.7919130298,69.53588577354994,9004687.678008322,2721.028616192251,44268.351229158914,13.376971505671749,14411.70294108418,10807.405680903035,90671.38761935435,879.9466069102298,2603.07237079111,61254.761611500246,156.32595709125974,330929547.17283666
US,2020-11-02,0.3,1.0414852930733425,293998.6011836588,0.7333933348854549,14857183.315900195,230618.27513449808,69.68802789134196,9013490.697971096,2723.6887050353234,45520.1628340333,13.755242837309776,14814.135584700856,11183.518780849656,92148.47807835776,906.7061136081747,2700.856960708656,62213.83323277439,160.80752911931955,330929547.17283666
US,2020-11-02,0.35,1.0419953502641397,314038.5115291679,0.7349299975533111,14893523.075376244,231091.36047145585,69.83098440308271,9021677.865752095,2726.1626962068412,46770.459553629335,14.1330564022445,15303.61551135096,11570.656965796872,93693.52219337906,935.6825804164407,2791.432426653833,63255.488740194814,165.35735229327767,330929547.17283666
US,2020-11-02,0.4,1.0425321051972356,331155.0342343421,0.7365017826160325,14925150.623532893,231557.78178625254,69.97192718645802,9029829.341740936,2728.6259020639427,48010.725722659,14.507838944216163,15707.104848894944,11944.352083318454,95137.05690304797,960.1621671451927,2900.8092995211096,64265.844904465186,170.15617282921002,330929547.17283666
US,2020-11-02,0.45,1.043043643423611,348361.4004624319,0.7379076944008001,14957728.179577734,232042.61493659965,70.11843364213388,9037686.313811028,2731.000114985459,49583.11802652697,14.98298306999794,16233.746672268371,12306.43295779606,96488.24660922463,990.725625056546,3008.739872990879,65126.471606345614,174.9697318032367,330929547.17283666
US,2020-11-02,0.5,1.0435083589817928,365073.0372468514,0.7393804116105116,14988034.95128036,232519.2302834247,70.26245684915689,9045174.606888752,2733.2629208127705,51201.404686768845,15.471995512092354,16746.02821153479,12724.109737176097,97847.82965372226,1022.1770634336921,3137.2604518302,65928.08352848308,179.5526266617292,330929547.17283666
US,2020-11-02,0.55,1.0440106333036294,383941.0580600457,0.7408539675667275,15021358.777966054,232991.1382107085,70.40505757227615,9051980.960306942,2735.319658712525,52874.74733567568,15.977644724500964,17357.400885693092,13178.10908524173,99096.97175127798,1046.5441844842646,3251.8902457508043,66773.39416085063,185.89874321850237,330929547.17283666
US,2020-11-02,0.6,1.0444608726441027,401200.33015895786,0.7421802819203339,15058619.231380453,233434.26304595388,70.53896064591555,9059589.593498534,2737.6188288097837,54640.115782802655,16.511102211814713,18065.11815865746,13708.498106690442,100136.39215802283,1074.0006006540164,3386.5262795659196,67586.41644853199,192.46747531934105,330929547.17283666
US,2020-11-02,0.65,1.044884317286003,419949.4332651409,0.7436058290926473,15090470.139682867,233930.2482969111,70.68883703356197,9067241.945748394,2739.931209893684,57135.513005613255,17.26515915358042,18814.342997155563,14372.336571641748,101298.66861548957,1101.715825553084,3557.2196803470943,68373.28892519385,201.22422342125256,330929547.17283666
US,2020-11-02,0.7,1.0454180224097045,439703.7886065206,0.7449814076840358,15125553.420964126,234431.66870714995,70.84035581286787,9074748.430913467,2742.199512989977,59775.98573405692,18.063054884258293,19615.76367430712,15008.896195240592,102550.06400485293,1132.779375152521,3752.8326789072,69221.4727078327,211.946097173754,330929547.17283666
US,2020-11-02,0.75,1.0460517410653234,462753.97678811423,0.7465845154297001,15169045.85277879,234917.10535198948,70.98704463197956,9084076.19231986,2745.018167741745,62805.70628933665,18.978573181479835,20635.091579449567,15748.43222332099,103946.95820906604,1159.4023529433016,3950.500676965335,70290.08066564305,224.9620273725124,330929547.17283666
US,2020-11-02,0.8,1.046695835425589,487782.6600038153,0.7483327188093462,15210376.730855266,235438.5803598729,71.14462349199324,9093033.351283856,2747.7248341728696,66321.69914496948,20.041032815462447,21951.7011282683,16690.03227784913,105686.66833533488,1184.0194334944142,4223.683822334571,71366.67091611406,245.76054997094283,330929547.17283666
US,2020-11-02,0.85,1.0474449652470768,517284.09410849406,0.7503594028760204,15264183.44609401,236082.9287079447,71.33933211005909,9102979.280520786,2750.7302863369023,71103.67179934774,21.486045113466997,23498.80573449594,17916.28436524618,107916.32699771217,1221.3625550594447,4594.227215067064,72642.52541378929,274.1461274960704,330929547.17283666
US,2020-11-02,0.9,1.048369548098711,552332.5096742454,0.7530908101391375,15336320.739421818,236806.52112708156,71.55798663194105,9117563.28187232,2755.137267060178,77774.25405365862,23.50175580213119,25669.09640074946,19425.813026805936,110433.95179919225,1256.326263196328,5113.795219516464,74577.64965103101,332.1572058219145,330929547.17283666
US,2020-11-02,0.95,1.0497612196424269,611032.3755510396,0.7568413842943273,15435565.873404235,237701.3133161807,71.82837414999237,9139251.889285678,2761.6911114051904,88240.2888561015,26.664373009284557,29024.810605973085,21893.291407123783,114204.10491439544,1301.9054728203885,5876.29999292928,76907.03571029412,482.2486774336142,330929547.17283666
US,2020-11-02,0.975,1.0509012723182087,660879.1538986312,0.7597595688836305,15534225.832286865,238252.00092032817,71.99478044669574,9153779.126131328,2766.0809390799195,95452.53487133508,28.843763177629604,31635.40850449268,24243.365901811932,116826.88816986195,1335.947697037755,6513.347379414181,78875.13362336063,780.9890774480784,330929547.17283666
US,2020-11-02,0.99,1.052364354347135,709157.8306769135,0.7631901334243142,15663359.55918548,238925.3168188799,72.19824245373134,9171120.150058433,2771.3210344643458,105517.60750794927,31.88521798956801,34783.432448835636,26599.622870031206,120327.69041466742,1368.2647949843401,7198.7263910647725,81144.47150958709,1430.4697563111554,330929547.17283666
US,2020-11-03,0.01,1.0351608677098412,160006.13923223142,0.7109549025793863,14516691.02352891,228165.22108841746,68.9467661735421,8955091.657114837,2706.041734145245,35239.76981221902,10.648722700428475,10977.796405715053,7908.945507138826,74049.14020498065,741.3445961872634,1909.2929915675006,50005.97727636278,127.45195321701824,330929547.17283666
US,2020-11-03,0.025,1.0362024940696597,177213.3360714202,0.71578345133414,14596576.870441953,228470.30653360023,69.03895662549454,8979149.306134067,2713.311453402639,36781.91301922603,11.114726180680297,11613.098040634362,8447.189852506477,77263.42312440611,763.0849879120441,2034.7829930815547,52291.733873632664,132.07000330431217,330929547.17283666
US,2020-11-03,0.05,1.0373366714611958,193623.26084482975,0.7201086474250529,14676558.977398384,228879.61757750122,69.16264187735487,8999488.832961224,2719.457633760639,38244.677670131394,11.556743118545745,12161.914878335669,8930.847029235303,80662.68860843484,793.3364571705624,2148.2912802793194,54591.68813938133,136.45246483398893,330929547.17283666
US,2020-11-03,0.1,1.038568526782452,218232.59126682216,0.7245213546986824,14771189.136032313,229478.05092396567,69.34347594054954,9025850.638533296,2727.423621022062,40147.479940611134,12.131730237929785,12920.487847104356,9549.733401992049,84773.86590660378,827.2481725018971,2300.1102851136125,57275.36111680236,142.46163371120468,330929547.17283666
US,2020-11-03,0.15,1.039560996257815,238974.8503006475,0.7272434889155254,14827033.4569602,229982.25208248376,69.49583500392893,9042774.398260942,2732.537627877064,41706.79478792825,12.602922629373367,13498.942867761687,10079.584857971862,87229.764290017,858.8845841636082,2427.588603591004,59136.30171504522,147.8139804306419,330929547.17283666
US,2020-11-03,0.2,1.0402648200965237,257229.53096559274,0.7294529145694043,14874106.684710875,230501.6802605163,69.65279535469546,9054520.571397483,2736.087076162021,43160.30091712836,13.042141835279145,14024.538519856775,10523.088479150445,89167.9718123505,883.2331234168124,2529.275261410452,60469.84825049168,152.018517173642,330929547.17283666
US,2020-11-03,0.25,1.0408758976592576,277209.999220319,0.7317040092870469,14918322.087841514,231013.3224710485,69.80740294863901,9066596.580141187,2739.736193881146,44544.567621202215,13.460438332494268,14486.864456111292,10879.447047291304,90956.72059599354,907.0716958336932,2622.978320801928,61678.539736834784,156.32595709125974,330929547.17283666
US,2020-11-03,0.3,1.0414852930733425,295492.4253784135,0.7333933348854549,14951896.402730955,231544.1097566074,69.96779578454424,9076517.00222534,2742.733938316149,45885.585976391914,13.865666081616745,14925.030916428288,11285.16252724178,92587.26317291448,929.3381618770223,2727.305259984421,62751.97946955848,160.80752911931955,330929547.17283666
